Date,Precip (in),Air Temp (F),Water Temp (C),Turbidity,Water Level (RM22),Water Level (RM16),Corrected RM 22,Flow (cfs),,
6/30/2018,0,56,7,1,6.56,,,,,
7/1/2018,0,57,7,1,6.56,,,,,1 = Clear Water
7/2/2018,0,55,7.5,1,6.48,,,,,2 = Moderately cloudy
7/3/2018,0,66,7.5,1,6.5,,,,,3 = Highly turbid/Silty
7/4/2018,0,62,9,1,6.54,,,,,
7/5/2018,0.06,57,9,1,6.62,,,,,
7/6/2018,0,66,8.5,1,6.8,6.81,,23970,,
7/7/2018,0,62,9,1,6.92,,,,,
7/8/2018,0.17,54,9,1,7.02,,,,,
7/9/2018,0,54,7,1,7.18,,,,,
7/10/2018,0.43,53,7,1,7.42,,,,,
7/11/2018,0.1,52,7,1,7.45,,,,,
7/12/2018,0.05,54,7,1,7.43,,,,,
7/13/2018,0,55,7,1,7.31,,,,,
7/14/2018,0.29,53,7.5,1,7.21,,,,,
7/15/2018,0.22,58,8.5,2,7.11,,,,,
7/16/2018,0.03,56,9,2,6.92,,,,,
7/17/2018,0,57,9.5,2,6.8,,,,,
7/18/2018,0,58,10,2,6.68,,,,,
7/19/2018,0,52,10.5,2,6.55,,,,,
7/20/2018,0,56,10.5,2,6.43,,,,,
7/21/2018,0,62,10,2,6.38,,,,,
7/22/2018,0,61,10.5,1,6.34,,,,,
7/23/2018,0.25,59,8,1,6.3,,,,,
7/24/2018,0.72,57,6.5,1,6.39,,,,,
7/25/2018,0.17,56,7,1,6.4,,,,,
7/26/2018,0.26,58,9,1,6.4,,,,,
7/27/2018,0.44,54,10,1,6.44,,,,,
7/28/2018,0,60,10,2,6.44,,,,,
7/29/2018,0,63,10,2,6.4,,,,,
7/30/2018,0,63,10,2,6.36,,,,,
7/31/2018,0,68,11,2,6.36,,,,,
8/1/2018,0.01,56,11,2,6.3,,,,,
8/2/2018,0.07,54,11,2,6.3,,,,,
8/3/2018,0.49,58,11,2,6.32,,,,,
8/4/2018,0,62,12,2,6.28,,,,,
8/5/2018,0.04,57,12,2,6.2,,,,,
8/6/2018,0.06,56,11,2,6.2,,,,,
8/7/2018,0.21,58,9,1,6.38,,,,,
8/8/2018,0,NA,9,1,6.47,,,,,
8/9/2018,0,55,9,1,6.47,,,,,
8/10/2018,0,51,10,1,6.37,,,,,
8/11/2018,0.12,58,10,1,6.3,,,,,
8/12/2018,,,,,,,,,,
8/13/2018,,,,,,,,,,
8/14/2018,,,,,,,,,,
8/15/2018,,,,,,,,,,
8/16/2018,,,,,,,,,,
8/17/2018,,,,,,,,,,
